,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6365141682948129,1.1102230246251565e-16,0.0,0.0,0.6365141682948129
1,2,1.2543713720200975,0.00036831565033512703,0.0,0.0,1.2543713720200975
2,3,1.8253198564647013,0.0032500450915038392,0.0,0.0,1.8253198564647013
3,4,2.341151831054221,0.012091246210099271,0.0,0.0,2.341151831054221
4,5,2.7971934926976587,0.029243286447719896,0.0,0.0,2.7971934926976587
5,6,3.1895498606378117,0.054291565231535444,0.0,0.0,3.1895498606378117
6,7,3.517617209256171,0.08503623227644219,0.0,0.0,3.517617209256171
7,8,3.7815780312166294,0.11751255800425398,0.0,0.0,3.7815780312166294
8,9,3.983529350913297,0.14804225892575396,0.0,0.0,3.983529350913297
9,10,4.125636335704863,0.17305702444238236,0.0,0.0,4.125636335704863
10,11,4.2099468805122005,0.1897098559378243,0.0,0.0,4.2099468805122005
11,12,4.237849449064959,0.1956176067680353,0.0,0.0,4.237849449064959
