,subsizes,<S>,<S^2>,<S>_typ
0,1,0.655481773901393,-5.551115123125783e-17,0.0
1,2,1.2708540086073923,0.0015219549997209647,0.0
2,3,1.836209478397583,0.007989973967296837,0.0
3,4,2.3427035744549958,0.022650488520131518,0.0
4,5,2.7863841104584526,0.04734684702953906,0.0
5,6,3.163415239278469,0.08109876115862136,0.0
6,7,3.472383490856122,0.12098046195565537,0.0
7,8,3.711872369863856,0.16160301415128764,0.0
8,9,3.8821054695907686,0.19722068188106512,0.0
9,10,3.9835806312827815,0.221838986964352,0.0
10,11,4.017293663746451,0.23085539264138433,0.0
