,subsizes,<S>,<S^2>,<S>_typ
0,1,0.3983071138052843,2.7755575615628914e-17,0.0
1,2,0.7462827387786618,0.0019476437220887766,0.0
2,3,1.034344839982568,0.007729128079428271,0.0
3,4,1.2669960996991931,0.014922641018521476,0.0
4,5,1.4572885786843768,0.023254359937611824,0.0
5,6,1.6117015254090061,0.03214301163455957,0.0
6,7,1.7339984878828956,0.04073032938513865,0.0
7,8,1.826920483261791,0.048565238756047346,0.0
8,9,1.8921763554272593,0.05496194667443266,0.0
9,10,1.9308589347532659,0.05929871143591514,0.0
10,11,1.943661386968415,0.060891397044973594,0.0
