,subsizes,<S>,<S^2>,<S>_typ
0,1,0.5359598892162172,-5.551115123125783e-17,0.0
1,2,1.0267047602165076,0.0017298566124286374,0.0
2,3,1.4612668484272948,0.00865397436310733,0.0
3,4,1.8340703674912726,0.02204801983627469,0.0
4,5,2.146183806053804,0.040421607836808704,0.0
5,6,2.4008560586284458,0.06096516472587421,0.0
6,7,2.60342403998613,0.0819004258303897,0.0
7,8,2.7575957851357344,0.10140152815165582,0.0
8,9,2.8660052813744805,0.11764520861779282,0.0
9,10,2.9303326227433133,0.1287542593672164,0.0
10,11,2.9516427703052157,0.1328143387944909,0.0
