,subsizes,<S>,<S^2>,<S>_typ
0,1,0.30463609734923824,-2.7755575615628914e-17,0.0
1,2,0.5522628852181632,0.0017938916863993182,0.0
2,3,0.7386662262347412,0.00394498839953028,0.0
3,4,0.8888939557625414,0.006352671508337182,0.0
4,5,1.0111551112126036,0.008866426992172327,0.0
5,6,1.1099280814223764,0.011362263483284396,0.0
6,7,1.1879767436518234,0.01371553096474365,0.0
7,8,1.2471057984784681,0.015806267338258406,0.0
8,9,1.2884952340994276,0.017514111383783337,0.0
9,10,1.3128836239644117,0.018689137815307788,0.0
10,11,1.3208896643092216,0.019138630087751185,0.0
