,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6765259604934999,0.0,0.0,0.0,0.6765259604934999
1,2,1.314686037163377,0.0014913378475067685,0.0,0.0,1.314686037163377
2,3,1.9042384992011534,0.007849161580702368,0.0,0.0,1.9042384992011534
3,4,2.4357281546189484,0.022488050583575614,0.0,0.0,2.4357281546189484
4,5,2.9044550411179566,0.0477749113186956,0.0,0.0,2.9044550411179566
5,6,3.3052985090014504,0.0833256818253556,0.0,0.0,3.3052985090014504
6,7,3.635805672002101,0.1266563268685914,0.0,0.0,3.635805672002101
7,8,3.8933653701953026,0.17202101531848157,0.0,0.0,3.8933653701953026
8,9,4.077311468373403,0.21267302503105157,0.0,0.0,4.077311468373403
9,10,4.187289081086077,0.24100595724495477,0.0,0.0,4.187289081086077
10,11,4.22395762941121,0.25140145856238405,0.0,0.0,4.22395762941121
