,subsizes,<S>,<S^2>,<S>_typ
0,1,0.6765259604934999,1.1102230246251565e-16,0.0
1,2,1.314686037163377,0.0014913378475067685,0.0
2,3,1.9042384992011527,0.00784916158070148,0.0
3,4,2.435728154618947,0.022488050583574726,0.0
4,5,2.904455041117956,0.0477749113186956,0.0
5,6,3.305298509001452,0.08332568182536271,0.0
6,7,3.6358056720021077,0.1266563268685914,0.0
7,8,3.893365370195311,0.1720210153184869,0.0
8,9,4.077311468373413,0.21267302503105512,0.0
9,10,4.187289081086088,0.24100595724496543,0.0
10,11,4.223957629411221,0.25140145856240537,0.0
