,subsizes,<S>,<S^2>,<S>_typ
0,1,0.5859526183035509,0.0,0.0
1,2,1.1284922897366523,0.0016480576481596731,0.0
2,3,1.6166883851161218,0.008526959976079329,0.0
3,4,2.042858601294033,0.023019583555379697,0.0
4,5,2.405468178067845,0.04497444273377482,0.0
5,6,2.7047292981067406,0.07170118467112019,0.0
6,7,2.9434143383460376,0.0999816098425832,0.0
7,8,3.1249811075149734,0.12669182216543184,0.0
8,9,3.252529727032031,0.14900883239259066,0.0
9,10,3.328176631900999,0.1641506008875666,0.0
10,11,3.3532359228638544,0.1696609703853067,0.0
