,subsizes,<S>,<S^2>,<S>_typ
0,1,0.47413931305783763,-1.3877787807814457e-16,0.0
1,2,0.9008432185489667,0.001841583757733689,0.0
2,3,1.2691683159609832,0.008646977475574857,0.0
3,4,1.5770259886823559,0.020054400659530014,0.0
4,5,1.8294437092542335,0.033613088346335473,0.0
5,6,2.0345578522153906,0.04825598870883763,0.0
6,7,2.19739702287247,0.06281517436523743,0.0
7,8,2.321242277192647,0.07618434499253102,0.0
8,9,2.4081763878656055,0.0871164800058688,0.0
9,10,2.4597536188344145,0.09458983908289476,0.0
10,11,2.476787321490874,0.09732478798974231,0.0
