,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.6890092384766588,-2.7755575615628914e-16,0.0,0.6890092384766587,0.6890092384766587,-1.1102230246251565e-16,-1.1102230246251565e-16
1,2,1.3362483245683745,0.001607156005590582,0.0,1.3446548107147713,1.3408558401464212,0.0010843107512863437,0.0013379215766124997
2,3,1.932959641425431,0.008090488206440316,0.0,1.9550548005965291,1.9450732244664293,0.0058922179453633206,0.007004168209278294
3,4,2.4694947982157798,0.02288278212305883,0.0,2.5118584132837602,2.492720072773759,0.01734746648101204,0.02028344836035867
4,5,2.942044310955583,0.0489505698460313,0.0,3.0098676862184583,2.9792275693184473,0.03770289552953088,0.043896312253686176
5,6,3.345944247119901,0.08666260213331611,0.0,3.4428559805132157,3.3990718752848332,0.06708109403698437,0.07819453368882989
6,7,3.6792445217520116,0.13399426131693382,0.0,3.8068128721149193,3.74917348678661,0.10429835338643123,0.12163814550076779
7,8,3.9394911761997555,0.18498118703809752,0.0,4.09637203513247,4.02548181354747,0.14494722018873318,0.16896526163198544
8,9,4.125864488504165,0.2318244933156528,0.0,4.307429871666008,4.225378655208427,0.18312351251414682,0.21306781497878546
9,10,4.237415785129585,0.26501545109871927,0.0,4.435761591523069,4.346121726735966,0.21078995281228785,0.244764390557755
10,11,4.274284898606041,0.27692003899455386,0.0,4.479173056941843,4.386574822517308,0.22135246786762863,0.25656910832594093
