,subsizes,<S>,<S^2>,<S>_typ
0,1,0.625491359725573,1.1102230246251565e-16,0.0
1,2,1.2092502375774985,0.0015770278218909528,0.0
2,3,1.7408629559483817,0.00826342885892073,0.0
3,4,2.2117811214625753,0.023042638937123883,0.0
4,5,2.618848398020044,0.04694019183408482,0.0
5,6,2.9599215527539093,0.07810311085161104,0.0
6,7,3.2353881626730274,0.11307683046338646,0.0
7,8,3.4462786270504524,0.14716283208300496,0.0
8,9,3.5948422694503317,0.1760904856485439,0.0
9,10,3.6829157178585774,0.19574111027051977,0.0
10,11,3.7121069662538826,0.20286493379120074,0.0
