,subsizes,<S>,<S^2>,<S>_typ
0,1,0.655481773901393,-5.551115123125783e-17,0.0
1,2,1.2708540086073923,0.0015219549997209647,0.0
2,3,1.836209478397583,0.007989973967297725,0.0
3,4,2.3427035744549958,0.022650488520132406,0.0
4,5,2.7863841104584526,0.04734684702954084,0.0
5,6,3.1634152392784696,0.08109876115862136,0.0
6,7,3.472383490856122,0.12098046195565182,0.0
7,8,3.711872369863856,0.16160301415128409,0.0
8,9,3.8821054695907677,0.19722068188106157,0.0
9,10,3.9835806312827784,0.22183898696435556,0.0
10,11,4.017293663746447,0.23085539264139143,0.0
