,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6829081047004717,1.1102230246251565e-16,0.0,0.0,0.6829081047004717
1,2,1.3368313179179645,0.0011257629834515726,0.0,0.0,1.3370960750105543
2,3,1.9093880537013403,0.009156373660243577,0.0,0.0,1.9101544639926464
3,4,2.3764749722943277,0.03182501713463637,0.0,0.0,2.3778649045519917
4,5,2.7233431448988683,0.06822554185628515,0.0,0.0,2.7252396617414423
5,6,2.9334945130977186,0.10270019737083835,0.0,0.0,2.935614327546313
6,7,3.004431781367279,0.11884488394477977,0.0,0.0,3.0066527481560206
