,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6210863745552454,-1.6653345369377348e-16,0.0,0.0,0.6210863745552454
1,2,1.216110379437944,0.0008519475625716755,0.0,0.0,1.216110379437944
2,3,1.7350475519245983,0.007915910899726875,0.0,0.0,1.7350475519245983
3,4,2.1620714771905125,0.026849643281782853,0.0,0.0,2.1620714771905125
4,5,2.48665403846955,0.05400607185534767,0.0,0.0,2.48665403846955
5,6,2.71105932158466,0.08131209275523066,0.0,0.0,2.71105932158466
6,7,2.843467000184297,0.10251596487041859,0.0,0.0,2.843467000184297
7,8,2.8868990810004287,0.11029790860077782,0.0,0.0,2.8868990810004287
