,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.661563238157982,2.220446049250313e-16,0.0,0.0,0.661563238157982
1,2,1.3012619285339029,0.0007311286821767293,0.0,0.0,1.3012940099507713
2,3,1.865937760515517,0.006730447118795002,0.0,0.0,1.8662123336887173
3,4,2.341667162954416,0.02494635507746512,0.0,0.0,2.342074844180872
4,5,2.713453572015781,0.054241795741027055,0.0,0.0,2.7139462326125914
5,6,2.9750080340958593,0.08656203890214265,0.0,0.0,2.9754563890043575
6,7,3.1295929560773326,0.11284956988056472,0.0,0.0,3.1299112362049075
7,8,3.180328764813941,0.12258091007294425,0.0,0.0,3.1806639021888974
