,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.5623351446188086,0.0,0.0,0.10505162042329391,0.5623351446188087,0.04803837520961335,-1.6653345369377348e-16
1,2,1.0990877558631829,0.0008726163445567092,0.0,0.2089278922015242,1.100701852596707,0.19001244108345364,0.0007906756905355916
2,3,1.550500585664379,0.008224650796387234,0.0,0.300937088768329,1.5541484071831235,0.3943696497489046,0.007825649435361015
3,4,1.9065422354771013,0.024483270761295195,0.0,0.37006902137555114,1.9103005806959588,0.5966803777783822,0.02329091299413255
4,5,2.1605088706716384,0.041897851487195936,0.0,0.4226996389615284,2.1652305931606546,0.779189052911288,0.04009167968321847
5,6,2.335811368997119,0.05917143529906266,0.0,0.46001651427025936,2.341882337824882,0.9237771430189177,0.05678950911651359
6,7,2.4367918252825373,0.06962376783491919,0.0,0.48169055801825394,2.4434561782970543,1.013410714792618,0.06721509663794034
7,8,2.470116065104103,0.07296128137079005,0.0,0.48918576683110493,2.4767852495962437,1.0456819469998957,0.07069342416326663
