,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.4825775651770122,1.1916369205120606e-31,0.0,0.0,0.4825775651770122,0.0,1.29912227642598e-31
1,2,0.931252049972362,0.001612777206756526,0.0,0.0,0.9320642606635583,0.0,0.0015576630823215087
2,3,1.2924821946691274,0.009520667159194302,0.0,0.0,1.293323717334569,0.0,0.009532258292270616
3,4,1.5434266380531871,0.01677113100522736,0.0,0.0,1.545346227062746,0.0,0.01678172068112468
4,5,1.7312304638423939,0.025166236243175703,0.0,0.0,1.7363585730434894,0.0,0.024700435735168353
5,6,1.8592246781193946,0.032619902458874965,0.0,0.0,1.8660729417800086,0.0,0.03194956107084986
6,7,1.9343522902234733,0.03795027999123614,0.0,0.0,1.9421372891502569,0.0,0.03707006975304648
7,8,1.9588756689449172,0.03971860603188708,0.0,0.0,1.9664947564064257,0.0,0.0388953823964855
